Player,Team,Position,Price,PricedAt,Breakeven,LastSeason,Owned
Daisy Bateman,Western Bulldogs,Forward,"$54,700",32,32,32,0.5
Dee Heslop,Brisbane Lions,Midfielder,"$54,600",32,32,32,0.4
Meghan McDonald,Geelong Cats,Defender,"$54,600",32,32,32,12.9
Maddison Levi,Gold Coast Suns,Defender,"$54,600",32,32,0,0.4
Stacey Livingstone,Collingwood,Defender,"$54,300",32,32,32,4.7
Serene Watson,Gold Coast Suns,Defender,"$54,300",32,32,32,0.3
Chelsea Biddell,Adelaide Crows,Forward,"$54,100",32,32,32,0.8
Marijana Rajcic,Adelaide Crows,Defender,"$53,900",32,32,32,0.7
Lucinda Pullar,Brisbane Lions,Defender,"$53,900",32,32,32,0.2
Renee Garing,Geelong Cats,Midfielder,"$53,800",32,32,0,3.1
Ebony O'Dea,Port Adelaide,Midfielder,"$53,800",32,32,32,0.8
Ruby Svarc,Brisbane Lions,Forward,"$53,700",32,32,32,0.3
Jacqueline Parry,Geelong Cats,Forward,"$53,700",32,32,32,0.1
Maria Moloney,Port Adelaide,Midfielder,"$53,600",32,32,34,0.7
Caitlin Greiser,St Kilda,Forward,"$53,500",32,32,32,0.3
Darcy Guttridge,St Kilda,Forward,"$53,400",32,32,32,0.1
Beth Schilling,West Coast Eagles,Defender,"$53,400",32,32,39,1.2
Ashlee Atkins,Gold Coast Suns,Forward,"$53,300",32,32,32,0.1
Maddy Brancatisano,Richmond,Midfielder,"$53,300",32,32,32,0.2
Brid Stack,GWS Giants,Defender,"$53,100",31,31,31,0.4
Jessica Low,Fremantle,Forward,"$52,900",31,31,31,0.3
Grace Kelly,St Kilda,Forward,"$52,600",31,31,31,0.5
Sophie Molan,Richmond,Midfielder,"$52,400",31,31,31,0.2
Sophie McDonald,West Coast Eagles,Defender,"$52,400",31,31,31,0.4
Alice Burke,St Kilda,Midfielder,"$52,200",31,31,31,0.5
Ellyse Gamble,Essendon,Defender,"$52,100",31,31,35,1.2
Lisa Whiteley,Adelaide Crows,Defender,"$51,900",31,31,31,0.8
Rachel Kearns,Geelong Cats,Forward,"$51,400",30,30,30,0.3
Tori Groves-Little,Gold Coast Suns,Forward,"$51,400",30,30,30,0.2
Aimee Schmidt,West Coast Eagles,Forward,"$51,100",30,30,30,0.3
Gabby Newton,Western Bulldogs,Forward,"$50,800",30,30,0,1.7
Ailish Considine,Adelaide Crows,Forward,"$50,700",30,30,30,0.1
Imahra Cameron,West Coast Eagles,Forward,"$50,700",30,30,30,0.1
Jayde Van Dyk,St Kilda,Defender,"$50,500",30,30,30,0.5
Shannon Danckert,Gold Coast Suns,Defender,"$50,400",30,30,30,0.2
Montana Ham,Sydney,Midfielder,"$50,300",30,30,0,65
Sophie Alexander,Essendon,Forward,"$50,200",30,30,30,0.3
Ange Foley,Port Adelaide,Defender,"$50,000",30,30,0,23.2
Janelle Cuthbertson,Fremantle,Forward,"$49,500",29,29,35,1.1
Meg Macdonald,Richmond,Forward,"$49,300",29,29,29,0.3
Jasmine Fleming,Hawthorn,Midfielder,"$49,100",29,29,0,28.1
Sabreena Duffy,Melbourne,Forward,"$49,100",29,29,0,0.5
Shelley Scott,Geelong Cats,Forward,"$49,000",29,29,29,5.2
Poppy Kelly,Richmond,Ruck,"$49,000",29,29,29,0.5
Sophie Van De Heuvel,Essendon,Midfielder,"$48,900",29,29,29,1.1
Mikayla Western,West Coast Eagles,Forward,"$48,800",29,29,38,1.3
Daria Bannister,Essendon,Forward,"$48,000",28,28,28,0.4
Hannah Ewings,Port Adelaide,Forward,"$47,900",28,28,0,36.1
Bianca Webb,Fremantle,Forward,"$47,400",28,28,32,0.7
Brooke Walker,Carlton,Defender,"$46,800",28,28,28,0.3
Sarah Sansonetti,Collingwood,Defender,"$46,700",28,28,28,1.2
Amber Clarke,Essendon,Defender,"$46,700",28,28,0,15.4
Makaela Tuhakaraina,Fremantle,Forward,"$46,700",28,28,28,0.3
Emily Goodsir,GWS Giants,Forward,"$46,700",28,28,0,0.2
Tegan Cunningham,Hawthorn,Forward,"$46,700",28,28,0,15.1
Olivia Barber,Collingwood,Forward,"$46,600",28,28,31,0.4
Sarah Wielstra,Fremantle,Ruck,"$46,500",28,28,34,0.7
Clara Fitzpatrick,St Kilda,Ruck,"$45,900",27,27,0,0.8
Tarni Evans,GWS Giants,Forward,"$45,600",27,27,29,0.5
Libby Graham,Richmond,Defender,"$45,600",27,27,31,0.9
Sofia Hurley,Sydney,Midfielder,"$45,500",27,27,0,12.3
Amber Ward,Adelaide Crows,Defender,"$45,300",27,27,27,0.3
Jasmine Simmons,Adelaide Crows,Ruck,"$45,300",27,27,29,0
Sarah Hartwig,Western Bulldogs,Defender,"$45,300",27,27,27,0.5
Jessica Doyle,GWS Giants,Forward,"$44,800",26,26,27,0.3
Jordan Ivey,Melbourne,Forward,"$44,600",26,26,26,1.3
Emily Bennett,West Coast Eagles,Defender,"$44,600",26,26,30,1
Sophie Casey,Collingwood,Defender,"$44,500",26,26,26,1.3
Alice O'Loughlin,Kangaroos,Forward,"$44,400",26,26,26,0.1
Mackenzie Eardley,Hawthorn,Defender,"$44,300",26,26,0,9.7
Philipa Seth,Fremantle,Defender,"$44,200",26,26,0,8.5
Deni Varnhagen,Adelaide Crows,Midfielder,"$44,100",26,26,0,0.1
Jessica Matin,St Kilda,Forward,"$43,800",26,26,26,0.1
Abbi Moloney,Collingwood,Forward,"$43,700",26,26,29,1.8
Maggie Maclachlan,Port Adelaide,Defender,"$43,700",26,26,32,1.7
Cheyenne Hammond,Port Adelaide,Defender,"$43,500",26,26,26,0.6
Danielle Hardiman,Kangaroos,Defender,"$43,100",25,25,26,0.4
Sarah Goodwin,Port Adelaide,Defender,"$43,100",25,25,0,34.6
Laura McClelland,Richmond,Midfielder,"$42,700",25,25,8,0.2
Lucy Single,Gold Coast Suns,Midfielder,"$42,600",25,25,25,0.7
Maggie Caris,Melbourne,Ruck,"$42,600",25,25,25,0.3
Brooke Vernon,Western Bulldogs,Defender,"$42,600",25,25,0,0.6
Emelia Yassir,Richmond,Midfielder,"$42,500",25,25,25,0.7
Paige Scott,Essendon,Forward,"$41,900",25,25,0,24.4
Jordan Zanchetta,Essendon,Forward,"$40,800",24,24,0,1.1
Kodi Jacques,Richmond,Midfielder,"$40,800",24,24,24,0.4
Brooke Vickers,Carlton,Defender,"$40,700",24,24,27,2.4
Charlotte Baskaran,Hawthorn,Midfielder,"$40,700",24,24,0,3.5
Kate McCarthy,Hawthorn,Forward,"$40,600",24,24,24,0.7
Brenna Tarrant,Sydney,Defender,"$40,400",24,24,22,14.9
Aliesha Newman,Sydney,Forward,"$40,300",24,24,24,0.6
Kirsten McLeod,Western Bulldogs,Forward,"$40,100",24,24,0,0.6
Zoe Prowse,Adelaide Crows,Ruck,"$39,800",24,24,31,0.6
Gemma Lagioia,Western Bulldogs,Midfielder,"$39,700",23,23,24,0.4
Bridie Hipwell,Hawthorn,Midfielder,"$39,500",23,23,0,1.4
Alana Woodward,Sydney,Midfielder,"$39,500",23,23,29,1.4
Beth Lynch,Richmond,Defender,"$39,400",23,23,23,1
Bella Smith,Sydney,Forward,"$39,200",23,23,26,1
Ashleigh Richards,St Kilda,Forward,"$38,900",23,23,23,0.3
Cynthia Hamilton,Sydney,Forward,"$38,300",23,23,0,6.7
Amy Franklin,Fremantle,Defender,"$38,100",23,23,28,2.4
Luka Yoshida-Martin,Brisbane Lions,Forward,"$37,700",22,22,25,0.7
Akec Makur Chuot,Hawthorn,Defender,"$37,500",22,22,22,1.2
Jessica Allan,GWS Giants,Ruck,"$37,400",22,22,0,0.5
Sarah Dargan,Sydney,Midfielder,"$37,000",22,22,24,1.4
Courtney Rowley,West Coast Eagles,Midfielder,"$36,900",22,22,22,0.8
Wallis Randell,Gold Coast Suns,Defender,"$36,300",21,21,14,0.2
Alice Mitchell,Sydney,Defender,"$35,900",21,21,0,1.1
Claudia Gunjaca,Geelong Cats,Forward,"$35,800",21,21,23,0.5
Ashley Sharp,Fremantle,Forward,"$35,500",21,21,0,0.4
Matilda Sergeant,Fremantle,Midfielder,"$34,800",21,21,21,1
Ella Roberts,West Coast Eagles,Forward,"$34,700",21,21,0,56.6
Eloise Chaston,Collingwood,Forward,"$34,400",20,20,20,1
Rebecca Ott,St Kilda,Defender,"$34,300",20,20,20,0.6
Brooke Tonon,Adelaide Crows,Defender,"$34,000",20,20,25,1.1
